"cheese","url","milk","country","region","family","type","fat_content","calcium_content","texture","rind","color","flavor","aroma","vegetarian","vegan","synonyms","alt_spellings","producers","lat","lon","xmin","ymin","xmax","ymax"
"Aarewasser","https://www.cheese.com/aarewasser/","cow","Switzerland",NA,NA,"semi-soft",NA,NA,"buttery","washed","yellow","sweet","buttery",FALSE,FALSE,NA,NA,"Jumi",46.7985624,8.2319736,5.9559113,45.8179579,10.4922941,47.8084544
"Abbaye de Belloc","https://www.cheese.com/abbaye-de-belloc/","sheep","France","Pays Basque",NA,"semi-hard, artisan",NA,NA,"creamy, dense, firm","natural","yellow","burnt caramel","lanoline",TRUE,FALSE,"Abbaye Notre-Dame de Belloc",NA,NA,47.6867895,7.3927627,7.3927127,47.6867395,7.3928127,47.6868395
"Abbaye de Belval","https://www.cheese.com/abbaye-de-belval/","cow","France",NA,NA,"semi-hard","40-46%",NA,"elastic","washed","ivory",NA,"aromatic",FALSE,FALSE,NA,NA,NA,46.603354,1.8883335,-178.3873749,-50.2187169,172.3057152,51.3055721
"Abbaye de Citeaux","https://www.cheese.com/abbaye-de-citeaux/","cow","France","Burgundy",NA,"semi-soft, artisan, brined",NA,NA,"creamy, dense, smooth","washed","white","acidic, milky, smooth","barnyardy, earthy",FALSE,FALSE,NA,NA,NA,47.2780872,4.2224863,2.8444817,46.1560119,5.5188651,48.4000592
"Abbaye de Tamié","https://www.cheese.com/tamie/","cow","France","Savoie",NA,"soft, artisan",NA,NA,"creamy, open, smooth","washed","white","fruity, nutty","perfumed, pungent",FALSE,FALSE,NA,"Tamié, Trappiste de Tamie, Abbey of Tamie",NA,45.4948952,6.3846604,5.6218274,45.0516188,7.1859342,45.9382736
"Abbaye de Timadeuc","https://www.cheese.com/abbaye-de-timadeuc/","cow","France","Brittany",NA,"semi-hard",NA,NA,"soft","washed","pale yellow","salty, smooth","nutty",FALSE,FALSE,NA,NA,"Abbaye Cistercienne NOTRE-DAME DE TIMADEUC",48.2640845,-2.9202408,-5.1440329,47.277755,-1.01569,49.1133044
"Abbaye du Mont des Cats","https://www.cheese.com/abbaye-du-mont-des-cats/","cow","France","Nord-Pas-de-Calais",NA,"semi-soft, artisan, brined","50%",NA,"smooth, supple","washed","pale yellow","milky, salty","floral",FALSE,FALSE,NA,NA,"Abbaye du Mont des Cats",50.5289634,2.4545158,1.5555647,49.9689246,4.2311934,51.0889898
"Abbot’s Gold","https://www.cheese.com/abbots-gold/","cow","United Kingdom","North Yorkshire","Cheddar","semi-hard",NA,NA,"creamy, crumbly, dense, semi firm","natural","pale yellow","mild, sweet, tangy","aromatic",TRUE,FALSE,"Abbot's Gold Cheddar with Caramelised Onion, Caramelised Onion Cheddar, English Cheddar with Caramelized Onions",NA,"Wensleydale Creamery",54.1345327,-1.4986285,-2.564739,53.6210944,-0.2123533,54.6479755
"Abertam","https://www.cheese.com/abertam/","sheep","Czech Republic","Karlovy Vary",NA,"hard, artisan","45%",NA,"firm","natural","pale yellow","acidic, strong, tangy",NA,FALSE,FALSE,NA,NA,NA,50.2306216,12.8701437,12.784855,50.1669377,12.9439763,50.266775
"Abondance","https://www.cheese.com/abondance/","cow","France",NA,NA,"semi-hard, artisan",NA,NA,"creamy","natural","pale yellow","nutty","buttery, fruity",FALSE,FALSE,"Tomme d'Abondance",NA,NA,46.603354,1.8883335,-178.3873749,-50.2187169,172.3057152,51.3055721
